filename	minor	major	total	ownership
src/test/compile-fail/panic-runtime/auxiliary/panic-runtime-unwind.rs	1	4	5	0.5405405405405406
src/rt/rust_task_thread.cpp	3	2	5	0.8888888888888888
src/test/run-pass/issue-15689-2.rs	4	3	7	0.5204081632653061
src/test/compile-fail/aux/svh-utb.rs	0	1	1	1.0
src/test/compile-fail/borrowck-let-suggestion-suffixes.rs	5	4	9	0.4305555555555556
.gitignore	36	4	40	0.5964343598055105
src/test/compile-fail/E0565-1.rs	3	3	6	0.5370370370370371
src/compiletest/raise_fd_limit.rs	5	3	8	0.5765765765765766
src/test/run-pass/task-pin.rs	0	6	6	0.4444444444444444
src/test/ui/span/E0537.rs	0	3	3	0.625
src/librustpkg/README.txt	1	3	4	0.8387096774193549
src/lib/smallintmap.rs	3	5	8	0.17391304347826086
src/test/run-pass/issue-27639.rs	6	3	9	0.38461538461538464
src/support/README	0	1	1	1.0
src/test/codegen-units/partitioning/auxiliary/cgu_generic_function.rs	0	2	2	0.75
src/test/compile-fail/lint-unknown-feature-default.rs	2	4	6	0.35555555555555557
src/doc/trpl/guessing-game.md	30	4	34	0.41648106904231624
src/test/run-pass/coerce-reborrow-imm-ptr-arg.rs	8	3	11	0.3829787234042553
src/libcollections/trie/mod.rs	4	4	8	0.4068965517241379
src/test/compile-fail/issue-17905.rs	13	3	16	0.4782608695652174
src/test/run-pass/issue-34053.rs	2	3	5	0.5517241379310345
src/test/run-pass/issue-15043.rs	3	3	6	0.49333333333333335
src/test/compile-fail/lint-change-warnings.rs	8	2	10	0.7721518987341772
src/librustc/traits/error_reporting.rs	24	6	30	0.38181818181818183
src/libstd/test.rs	32	4	36	0.41295546558704455
src/test/compile-fail/unop-neg-bool.rs	4	2	6	0.75
src/test/compile-fail/impl-trait/equality.rs	1	3	4	0.3870967741935484
src/libstd/collections/hash/set.rs	46	3	49	0.4002897151134718
src/test/compile-fail/wf-trait-default-fn-where-clause.rs	4	2	6	0.7666666666666667
src/test/compile-fail/trait-impl-of-supertrait-has-wrong-lifetime-parameters.rs	3	2	5	0.8
src/librustpkg/installed_packages.rs	11	1	12	0.8316831683168316
src/librustc/session/filesearch.rs	6	5	11	0.424
src/librustc/dep_graph/shadow.rs	6	4	10	0.48863636363636365
src/test/run-pass/aux/trait_safety_lib.rs	0	1	1	1.0
src/rustc/middle/region.rs	9	7	16	0.2236842105263158
src/test/run-pass/coherence-cow-2.rs	2	3	5	0.5566037735849056
src/test/run-pass/union/auxiliary/union.rs	3	3	6	0.5116279069767442
src/test/compile-fail/wf-enum-fields.rs	0	3	3	0.75
src/test/compile-fail/object-safety-sized-2.rs	5	3	8	0.7
src/test/run-pass/uniq-self-in-mut-slot.rs	11	3	14	0.4672489082969432
src/libnative/io/c_unix.rs	10	2	12	0.8288288288288288
Heuristica-Italic.woff	0	1	1	1.0
src/test/run-pass/expr-elseif-ref2.rs	9	2	11	0.7596153846153846
src/test/run-make/extern-flag-fun/foo.rs	0	3	3	0.5
src/test/compile-fail/issue-3907.rs	15	4	19	0.5767634854771784
src/test/bench/shootout/ackermann.rs	0	3	3	0.5
src/test/compile-fail/issue-31997.rs	0	1	1	1.0
src/test/compile-fail/fn-expr-type-state.rs	0	8	8	0.2857142857142857
src/test/compile-fail/issue-17444.rs	6	5	11	0.47337278106508873
src/libregex/test/tests.rs	15	2	17	0.48787878787878786
src/test/run-pass/cleanup-rvalue-during-if-and-while.rs	5	3	8	0.35714285714285715
src/test/run-pass/anon-obj-no-inner-obj-simple.rs	0	3	3	0.3333333333333333
src/test/run-pass/auxiliary/check_static_recursion_foreign_helper.rs	2	4	6	0.5348837209302325
src/etc/lldb_rust_formatters.py	14	5	19	0.4371859296482412
src/libsyntax/visit.rs	86	3	89	0.5875557889209766
src/rt/arch/aarch64/morestack.S	4	4	8	0.63125
src/test/run-pass/down-with-thread-dtors.rs	5	3	8	0.6421052631578947
src/test/run-pass/trait-with-bounds-default.rs	9	3	12	0.6606334841628959
src/test/run-fail/panic-task-name-send-str.rs	4	3	7	0.5652173913043478
src/test/run-pass/intrinsic-return-address.rs	11	4	15	0.4312796208530806
mk/cfg/x86_64-sun-solaris.mk	6	3	9	0.5866666666666667
src/test/run-pass/move-1-unique.rs	12	3	15	0.39565217391304347
src/test/run-make/pretty-expanded-hygiene/Makefile	4	3	7	0.4230769230769231
src/test/run-make/c-static-dylib/Makefile	3	3	6	0.6025641025641025
src/test/debug-info/borrowed-tuple.rs	10	1	11	0.8983050847457628
src/test/run-make/issue-18943/foo.rs	2	3	5	0.4857142857142857
src/test/run-pass/issue-29914-3.rs	2	3	5	0.7058823529411765
src/test/compile-fail/aux/coherence_lib.rs	0	1	1	1.0
src/test/compile-fail/issue-26093.rs	3	5	8	0.40816326530612246
src/librustc_back/target/i686_pc_windows_gnu.rs	17	4	21	0.510752688172043
src/libserialize/leb128.rs	2	3	5	0.47368421052631576
src/libcore/num/int-template.rs	17	2	19	0.7401315789473685
src/test/compile-fail/liveness-move-in-loop.rs	10	3	13	0.7457627118644068
src/test/run-pass/thread-local-syntax.rs	2	5	7	0.41509433962264153
src/librustc_mir/dump.rs	2	4	6	0.7043478260869566
src/comp/syntax/parse/token.rs	10	6	16	0.24489795918367346
src/test/compile-fail/generic-lifetime-trait-impl.rs	6	3	9	0.5359477124183006
src/libstd/sys/common/util.rs	5	6	11	0.5029239766081871
src/test/run-pass/infinite-loops.rs	15	4	19	0.5201793721973094
src/test/compile-fail/huge-array.rs	4	2	6	0.4791666666666667
src/libcore/num/flt2dec/decoder.rs	8	5	13	0.5183673469387755
src/test/compile-fail/aux/rbmtp_cross_crate_lib.rs	0	1	1	1.0
src/test/compile-fail/E0509.rs	1	4	5	0.4444444444444444
src/test/run-pass/macro_with_super_2.rs	4	3	7	0.4461538461538462
src/test/compile-fail/regions-blk.rs	1	8	9	0.36666666666666664
src/test/compile-fail/borrowck/borrowck-mut-borrow-linear-errors.rs	2	3	5	0.43859649122807015
src/test/run-pass-fulldeps/auxiliary/cond_noprelude_plugin.rs	7	4	11	0.43884892086330934
src/test/compile-fail/aux/svh-a-change-trait-bound.rs	0	1	1	1.0
src/libstd/term.rs	16	3	19	0.4825174825174825
src/libsync/task_pool.rs	3	2	5	0.9012345679012346
src/test/run-pass/auxiliary/cgu_test_b.rs	0	3	3	0.5
src/test/run-pass/do-for-empty-args.rs	5	2	7	0.78
src/test/run-pass/default-method-simple.rs	13	4	17	0.5132743362831859
doc/tutorial/iface.md	0	1	1	1.0
src/test/auxiliary/rustdoc-extern-method.rs	4	3	7	0.37681159420289856
src/test/compile-fail/removed-syntax-larrow-init.rs	6	4	10	0.504950495049505
src/test/compile-fail/where-for-self.rs	2	3	5	0.5454545454545454
src/test/compile-fail/traits-inductive-overflow-auto-normal-auto.rs	5	4	9	0.4421052631578947
src/librustc_trans/trans/llrepr.rs	7	5	12	0.42857142857142855
src/test/bench/spawnone.rs	4	3	7	0.44761904761904764
src/test/run-pass/namespaced-enum-glob-import-xcrate.rs	8	3	11	0.5223880597014925
src/librustc_bitflags/Cargo.toml	2	4	6	0.5342465753424658
src/test/run-make/symbols-are-reasonable/Makefile	9	4	13	0.5161290322580645
src/test/run-pass/issue-18655.rs	3	2	5	0.7241379310344828
src/libcore/unstable.rs	9	3	12	0.7730061349693251
src/test/run-pass/issue-7012.rs	6	3	9	0.6242038216560509
src/test/run-pass/dropck-eyepatch-reorder.rs	4	3	7	0.44680851063829785
src/test/compile-fail/kindck-owned-trait-scoped.rs	15	3	18	0.7085714285714285
src/test/compile-fail/auxiliary/empty-struct.rs	2	5	7	0.3484848484848485
