filename	churn	size	minor	major	total	ownership	defects
src/test/compile-fail/unsized-enum.rs	41	22	0	6	6	0.375	0
src/libcore/Cargo.toml	37	18	0	7	7	0.36363636363636365	0
src/test/run-pass/pat-tuple-2.rs	34	32	0	3	3	0.5	0
src/test/run-pass/issue-6898.rs	4	42	0	2	2	0.5	0
src/test/rustdoc/manual_impl.rs	153	91	0	2	2	0.5	0
src/test/run-make/sepcomp-inlining/Makefile	64	14	0	5	5	0.2857142857142857	0
src/librustc_trans/back/link.rs	2205	1215	21	5	26	0.3805309734513274	19
src/test/parse-fail/issue-37234.rs	17	19	0	1	1	1.0	0
src/test/run-pass/mod_dir_implicit_aux/compiletest-ignore-dir	0	1	0	1	1	1.0	0
src/test/compile-fail/lint-change-warnings.rs	4	31	0	2	2	0.5	0
src/doc/book/enums.md	41	107	0	6	6	0.375	0
src/test/parse-fail/doc-before-identifier.rs	18	18	0	1	1	1.0	0
src/vendor/toml/.travis.yml	31	31	0	1	1	1.0	0
src/test/compile-fail/issue-34418.rs	31	31	0	1	1	1.0	0
src/libterm/win.rs	8	214	0	2	2	0.5	0
Cargo.lock	411	155	0	4	4	0.6	0
src/test/ui/span/vec-must-not-hide-type-from-dropck.stderr	23	22	0	1	1	1.0	0
src/test/incremental/hashes/trait_defs.rs	1115	1115	0	1	1	1.0	0
src/librustc/ty/maps.rs	126	48	3	6	9	0.3235294117647059	22
src/librustc_mir/transform/deaggregator.rs	648	130	4	5	9	0.35	0
src/test/compile-fail/E0450.rs	41	21	0	3	3	0.5	0
src/test/compile-fail/issue-17518.rs	8	17	0	4	4	0.25	0
src/test/run-pass/task-comm-15.rs	2	38	0	2	2	0.5	0
src/test/run-pass/issue-15735.rs	25	25	0	1	1	1.0	0
src/test/compile-fail/borrowck/borrowck-move-error-with-note.rs	36	66	0	4	4	0.5	0
src/libstd/sys/unix/ext/io.rs	12	146	0	4	4	0.3333333333333333	0
src/test/parse-fail/pat-lt-bracket-7.rs	23	13	0	6	6	0.3333333333333333	0
tests/compile-fail/static_memory_modification3.rs	9	9	0	1	1	1.0	0
src/liballoc/arc.rs	3351	1472	25	5	30	0.35064935064935066	3
src/test/compile-fail/auxiliary/svh-a-change-type-ret.rs	0	35	0	1	1	1.0	0
src/test/compile-fail/indexing-requires-a-uint.rs	26	24	0	9	9	0.3076923076923077	0
src/test/run-pass/issue-20091.rs	3	30	0	3	3	0.3333333333333333	0
src/test/ui/macros/bad_hello.rs	6	13	0	1	1	1.0	0
src/test/run-pass/panic-handler-chain.rs	62	36	0	4	4	0.5	0
src/test/compile-fail/lint-output-format.rs	15	22	0	3	3	0.3333333333333333	0
src/test/run-pass/deprecated-macro_escape-inner.rs	8	17	0	4	4	0.25	0
src/test/run-make/graphviz-flowgraph/f15.dot-expected.dot	16	105	0	4	4	0.25	0
src/test/debuginfo/struct-style-enum.rs	54	103	0	5	5	0.2	0
src/test/compile-fail/const-unsized.rs	111	39	0	9	9	0.21428571428571427	0
src/libcollectionstest/slice.rs	1808	1448	9	7	16	0.38461538461538464	0
src/test/ui/compare-method/region-extra.stdout	0	1	0	1	1	1.0	0
src/test/compile-fail/issue-29857.rs	31	31	0	1	1	1.0	0
src/test/compile-fail/name-clash-nullary.rs	20	18	0	4	4	0.42857142857142855	0
src/test/codegen-units/item-collection/instantiation-through-vtable.rs	16	43	0	5	5	0.4444444444444444	0
src/test/run-pass/auxiliary/cci_class_4.rs	0	51	0	1	1	1.0	0
mk/cfg/i386-apple-ios.mk	6	30	0	3	3	0.3333333333333333	0
tests/run-pass/issue-17877.rs	24	24	0	1	1	1.0	0
src/test/run-pass/sendfn-spawn-with-fn-arg.rs	4	33	0	2	2	0.5	0
src/test/compile-fail/E0106.rs	57	27	0	3	3	0.5	0
src/test/compile-fail/auxiliary/issue-21221-3.rs	0	29	0	1	1	1.0	0
src/test/run-make/graphviz-flowgraph/f20.dot-expected.dot	16	29	0	4	4	0.25	0
src/librustc/traits/select.rs	4801	2987	17	5	22	0.27522935779816515	6
src/test/compile-fail/transmute-type-parameters.rs	72	54	0	3	3	0.5	0
src/test/debuginfo/generic-tuple-style-enum.rs	54	106	0	5	5	0.2	0
src/test/ui/span/borrowck-let-suggestion-suffixes.rs	61	61	0	1	1	1.0	0
src/test/compile-fail/loop-properly-diverging-2.rs	16	16	0	1	1	1.0	0
src/test/compile-fail/E0437.rs	21	19	0	3	3	0.5	0
src/libcore/fmt/num.rs	205	264	0	6	6	0.45454545454545453	0
src/doc/book/closures.md	438	552	20	5	25	0.2857142857142857	0
src/test/run-pass/env-funky-keys.rs	24	49	0	3	3	0.5	0
src/test/run-make/c-static-rlib/foo.rs	6	20	0	3	3	0.3333333333333333	0
src/librustc/hir/map/collector.rs	1632	256	10	7	17	0.29310344827586204	0
src/test/compile-fail/regions-nested-fns.rs	12	32	0	2	2	0.5	0
src/test/parse-fail/issue-10412.rs	60	34	0	8	8	0.25	0
src/test/run-pass/mir_heavy_promoted.rs	18	18	0	1	1	1.0	0
src/test/run-pass/auxiliary/reachable-unnameable-items.rs	0	116	0	1	1	1.0	0
src/test/compile-fail/safe-extern-statics.rs	32	32	0	1	1	1.0	0
src/libbacktrace/fileline.c	22	194	0	4	4	0.4	0
