filename	churn	size	minor	major	total	ownership	defects
themes/Light/ui/progressbar.png	0	5	0	1	1	1.0	0
icons/Symbolic/24/gimp-prefs-controllers.svg	128	128	0	1	1	1.0	0
devel-docs/libgimpconfig/libgimpconfig-sections.txt	84	200	0	3	3	0.3333333333333333	0
icons/symbolic/48/gimp-prefs-folders-plug-ins.png	0	4	0	1	1	1.0	0
themes/Lighter/ui/option2.png	0	4	0	1	1	1.0	0
icons/Color/16/gimp-path.png	0	3	0	2	2	0.5	0
app/text/gimp-fonts.h	53	31	0	4	4	0.2857142857142857	0
plug-ins/script-fu/scripts/lava.scm	2	135	0	1	1	1.0	0
icons/Symbolic/scalable/gimp-prefs-folders-tool-presets.svg	410	157	0	3	3	0.4	0
icons/default/20/gimp-linked.png	0	4	0	1	1	1.0	0
icons/default/16/gimp-selection-none.png	0	4	0	1	1	1.0	0
icons/Symbolic/48/gimp-prefs-folders-mypaint-brushes.png	0	9	0	1	1	1.0	0
app/text/gimp-fonts.c	341	253	0	5	5	0.3	0
icons/default/16/gimp-layer-mask.svg	0	883	0	1	1	1.0	0
icons/Symbolic/16/gimp-file-manager.png	0	5	0	1	1	1.0	0
icons/default/22/gimp-tool-cage.png	0	8	0	1	1	1.0	0
app/core/gimpfilteredcontainer.c	4	377	0	2	2	0.5	0
plug-ins/common/tile.c	594	504	0	3	3	0.3333333333333333	0
icons/Color/16/gimp-symmetry.png	0	5	0	2	2	0.6666666666666666	0
themes/Gray/ui/entry-border-active-notebook.png	0	4	0	1	1	1.0	0
icons/Color/16/gimp-system-run.png	0	3	0	1	1	1.0	0
app/dialogs/fill-dialog.c	735	183	0	4	4	0.4	0
icons/Symbolic/16/gimp-color-pick-from-screen.png	0	3	0	1	1	1.0	0
icons/Color/24/gimp-tool-crop.png	0	7	0	2	2	0.5	0
app/pdb/gimprc-cmds.c	92	498	0	2	2	0.5	0
themes/Darker/ui/down-pre.png	0	4	0	1	1	1.0	0
app/core/gimpunit.c	4	297	0	2	2	0.5	0
icons/default/16/gimp-print-resolution.png	0	3	0	1	1	1.0	0
themes/Darker/ui/gimp-button-default.png	0	7	0	1	1	1.0	0
icons/Color/scalable/zoom-fit-best.svg	83	83	0	1	1	1.0	0
app/dialogs/fill-dialog.h	105	45	0	3	3	0.5	0
icons/Legacy/16/gimp-rotate-90.png	0	3	0	1	1	1.0	0
app/core/gimpdrawablefilter.c	1149	885	0	3	3	0.5714285714285714	1
icons/Symbolic/48/gimp-floating-selection.png	0	7	0	2	2	0.6666666666666666	0
icons/Color/48/gimp-text-layer.png	0	8	0	2	2	0.6	0
