filename	minor	major	total	ownership
doc/guide-rustpkg.md	3	1	4	0.8846153846153846
src/test/run-pass/nested-vec-2.rs	3	3	6	0.6388888888888888
src/test/compile-fail/E0164.rs	7	3	10	0.4868421052631579
src/test/run-pass/match-pattern-lit.rs	5	3	8	0.6040268456375839
mk/cfg/arm-unknown-linux-musleabi.mk	4	5	9	0.4266666666666667
src/test/run-pass/issue-10031.rs	5	3	8	0.42857142857142855
src/test/ui/dropck/dropck-eyepatch-extern-crate.rs	3	3	6	0.44680851063829785
src/test/compile-fail/aux/allocator1.rs	0	1	1	1.0
src/libstd/path2/windows.rs	0	1	1	1.0
src/libsyntax/ext/build.rs	83	3	86	0.6069739952718676
src/libcollectionstest/binary_heap.rs	17	3	20	0.5192878338278932
src/test/compile-fail/impure-pred.rs	6	5	11	0.21428571428571427
src/librustc_plugin/lib.rs	11	4	15	0.5126353790613718
src/test/compile-fail/bad-match.rs	6	3	9	0.45098039215686275
src/test/compile-fail/cast-to-unsized-trait-object-suggestion.rs	4	3	7	0.6909090909090909
src/test/run-pass/regions-trait-object-1.rs	5	3	8	0.4090909090909091
src/test/ui/codemap_tests/two_files.stderr	6	4	10	0.37333333333333335
src/rustc/middle/infer.rs	3	5	8	0.5636363636363636
src/test/compile-fail/E0522.rs	1	4	5	0.33962264150943394
src/test/compile-fail/regions-variance-contravariant-use-covariant-in-second-position.rs	3	2	5	0.59375
src/test/run-pass/issue-36768.rs	4	4	8	0.4444444444444444
src/test/run-pass/obj-return-polytypes.rs	0	5	5	0.36363636363636365
src/rusti/rl.rs	0	1	1	1.0
src/comp/fe/parser.rs	0	1	1	1.0
src/test/run-pass/unique-swap.rs	12	3	15	0.5152838427947598
src/support/include/llvm-c/Object.h	0	1	1	1.0
src/test/compile-fail/auxiliary/coherence_lib.rs	1	3	4	0.4090909090909091
src/test/parse-fail/keyword-move-as-identifier.rs	2	3	5	0.631578947368421
src/test/run-pass/trait-region-pointer-simple.rs	13	4	17	0.5785123966942148
src/test/compile-fail/aux/issue_5844_aux.rs	0	1	1	1.0
src/test/run-pass/numeric-method-autoexport.rs	26	3	29	0.4143920595533499
src/test/run-pass/fn-assign-managed-to-bare-2.rs	5	2	7	0.7647058823529411
src/test/compile-fail/dupe-symbols-7.rs	2	4	6	0.5806451612903226
src/test/run-pass/import5.rs	17	5	22	0.47413793103448276
